business_name,business_category,address,city,state,pincode,latitude,longitude,phone_number,website,email,opening_hours,open_now,rating,review_count,description,services,business_status,source_url,collected_timestamp
NS Electrical (UPS Work),Electrician,"H, 7, 1st B Cross Rd, KEB Colony, new Gurappana, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.920148,77.6055957,09742679834,,,Friday12–8 am9 am–12 amSaturday12–8 am9 am–12 amSunday12–8 am9 am–12 amMonday12–8 am9 am–12 amTuesday12–8 am9 am–12 amWednesday12–8 am9 am–12 amThursday12–8 am9 am–12 amSuggest new hours,,5.0,27,,,Operational,"https://www.google.com/maps/place/NS+Electrical+(UPS+Work)/@12.920148,77.6055957,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15ff16b7e545:0x893aed4ce2345848!8m2!3d12.920148!4d77.6055957!16s%2Fg%2F11mydc683b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:14.482099
SK ELECTRICALS,Electrician,"Maruthi Layout Main Rd, New Gurappana Palya, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9232306,77.603267,07676526010,,,Saturday9 am–10:30 pmSunday9 am–10:30 pmMonday9 am–10:30 pmTuesday9 am–10:30 pmWednesday9 am–10:30 pmThursday9 am–10:30 pmFriday9 am–1 pm3–10:30 pmSuggest new hours,,5.0,106,,,Operational,"https://www.google.com/maps/place/SK+ELECTRICALS/@12.9232306,77.603267,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15e26011f787:0x873d1a31c8131fbd!8m2!3d12.9232306!4d77.603267!16s%2Fg%2F11sx1_770s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:22.269532
BTM ELECTRICIAN SERVICE / kerala electrician available,Electrician,"New 99, Gangotri Circle, 23/24, 20th Main Rd, Old Madiwala, Jay Bheema Nagar, 1st Stage, BTM Layout, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.919218,77.6129254,09037413068,https://btm-electrician.carrd.co/,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,5.0,17,,,Operational,"https://www.google.com/maps/place/BTM+ELECTRICIAN+SERVICE+%2F+kerala+electrician+available/@12.919218,77.6129254,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15cba62b7757:0x1abc36825debdc74!8m2!3d12.919218!4d77.6129254!16s%2Fg%2F11nhjjc62k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:28.468426
AAA.ELECTRICIAN,Electrician,"J Cross Rd, near HOLY MARIAM CONVENT SCHOOL, Tavarekere, Bismillahnagar, S.G. Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9258675,77.6046314,09845840725,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFriday4 am–9 pmSuggest new hours,,,,,,Operational,"https://www.google.com/maps/place/AAA.ELECTRICIAN/@12.9258675,77.6046314,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae155ce85d2cf9:0xcb27e8c588102df5!8m2!3d12.9258675!4d77.6046314!16s%2Fg%2F11wc9v1z4j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:38.932730
RBM Electrician Service,Electrician,"B-27, Audugodi Police Quarters, Adugodi, Bengaluru, Karnataka 560030",Bangalore,Karnataka,560030,12.9403839,77.6119018,,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,5.0,2,,,Operational,"https://www.google.com/maps/place/RBM+Electrician+Service/@12.9403839,77.6119018,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15001d3303b5:0x3e479ec92c8ebf11!8m2!3d12.9403839!4d77.6119018!16s%2Fg%2F11ywgk1b6w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:47.973556
Suman electricals and electronics,Electrical supply store,"1st Main Rd, Bharathi Layout, Venkateshwara Layout, S.G. Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9302823,77.6067914,,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.5,2,,,Operational,"https://www.google.com/maps/place/Suman+electricals+and+electronics/@12.9302823,77.6067914,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1580248d9819:0xf4b9a564c7d2e69!8m2!3d12.9302823!4d77.6067914!16s%2Fg%2F11y1ft9cc5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:57.365056
Anitha Electrical & Electronic Services,Electrical installation service,"Venkatapura Main Rd, Teacher's Colony, Jakkasandra, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034",Bangalore,Karnataka,560034,12.9209457,77.6346077,09632717651,https://magicpin.com/profilemerchant?userId=58624934,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.9,105,,,Operational,"https://www.google.com/maps/place/Anitha+Electrical+%26+Electronic+Services/@12.9209457,77.6346077,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15f7ade262d5:0x171b2b7e933a625a!8m2!3d12.9209457!4d77.6346077!16s%2Fg%2F11vf9w_cjb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:03.790843
SV Electrical services,Electrician,"89/b,23RD Cross, 16th Main Rd, BTM Layout 2nd Stage, Bengaluru, Karnataka 560076",Bangalore,Karnataka,560076,12.9054413,77.6119009,07019576782,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.7,42,,,Operational,"https://www.google.com/maps/place/SV+Electrical+services/@12.9054413,77.6119009,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae150b3cc84c09:0xec11035736237c31!8m2!3d12.9054413!4d77.6119009!16s%2Fg%2F11lffh1rcf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:11.570970
Umesh Electrical Services,Electrical installation service,"844, 20th B Main Rd, near Indoor Stadium, 8th cross, Nanjappa Reddy Layout, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",Bangalore,Karnataka,560095,12.9427762,77.6217642,07019226106,http://umeshmultiservices.com/,,,,4.5,144,,,Operational,"https://www.google.com/maps/place/Umesh+Electrical+Services/@12.9427762,77.6217642,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae14463ba77725:0xab15cf7f127c6e20!8m2!3d12.9427762!4d77.6217642!16s%2Fg%2F11bw680cd2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:16.650525
AS Electrical,Electrician,"No 1, 32, 1st Main Rd, New Gurappana Palya, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9237397,77.6040436,08217639980,,,Saturday10 am–10 pmSunday10 am–10 pmMonday10 am–10 pmTuesday10 am–10 pmWednesday10 am–10 pmThursday10 am–10 pmFriday10 am–10 pmSuggest new hours,,4.5,17,,,Operational,"https://www.google.com/maps/place/AS+Electrical/@12.9237397,77.6040436,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15aa69a56f87:0x47ad154ed509de4f!8m2!3d12.9237397!4d77.6040436!16s%2Fg%2F1yg4lwmb8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:24.283626
